productkey,orderdatekey,duedatekey,shipdatekey,customerkey,promotionkey,currencykey,salesordernumber,totalproductcost,salesamount
217,20220421,20220503,20220428,13556,1,100,SO56542,13.09,34.99
217,20220421,20220503,20220428,11785,1,100,SO56543,13.09,34.99
485,20220421,20220503,20220428,18295,1,6,SO56544,8.22,21.98
483,20220421,20220503,20220428,18295,1,6,SO56544,44.88,120
537,20220421,20220503,20220428,21953,1,6,SO56545,13.09,35
491,20220421,20220503,20220428,17244,1,6,SO56546,41.57,53.99
484,20220421,20220503,20220428,11113,1,6,SO56547,2.97,7.95
225,20220421,20220503,20220428,18195,1,6,SO56548,6.92,8.99
480,20220421,20220503,20220428,18304,1,6,SO56549,0.86,2.29
487,20220421,20220503,20220428,17484,1,6,SO56550,20.57,54.99
234,20220421,20220503,20220428,17484,1,6,SO56550,38.49,49.99
540,20220421,20220503,20220428,16625,1,6,SO56551,12.19,32.6
529,20220421,20220503,20220428,16625,1,6,SO56551,1.49,3.99
600,20220421,20220503,20220428,22621,1,100,SO56552,294.58,539.99
478,20220421,20220503,20220428,22621,1,100,SO56552,3.74,9.99
477,20220421,20220503,20220428,22621,1,100,SO56552,1.87,4.99
217,20220421,20220503,20220428,22621,1,100,SO56552,13.09,34.99
376,20220421,20220503,20220428,22465,1,100,SO56553,"1,554.95",2443.35
479,20220421,20220503,20220428,22465,1,100,SO56553,3.36,8.99
477,20220421,20220503,20220428,22465,1,100,SO56553,1.87,4.99
217,20220421,20220503,20220428,22465,1,100,SO56553,13.09,34.99
530,20220421,20220503,20220428,11211,1,19,SO56554,1.87,4.99
540,20220421,20220503,20220428,24946,1,100,SO56555,12.19,32.6
529,20220421,20220503,20220428,24946,1,100,SO56555,1.49,3.99
480,20220421,20220503,20220428,24946,1,100,SO56555,0.86,2.29
540,20220421,20220503,20220428,24963,1,100,SO56556,12.19,32.6
536,20220421,20220503,20220428,23072,1,100,SO56557,11.22,29.99
528,20220421,20220503,20220428,23072,1,100,SO56557,1.87,4.99
480,20220421,20220503,20220428,23072,1,100,SO56557,0.86,2.29
540,20220421,20220503,20220428,24422,1,100,SO56558,12.19,32.6
483,20220421,20220503,20220428,24422,1,100,SO56558,44.88,120
477,20220421,20220503,20220428,18106,1,100,SO56559,1.87,4.99
477,20220421,20220503,20220428,26242,1,19,SO56560,1.87,4.99
487,20220421,20220503,20220428,26242,1,19,SO56560,20.57,54.99
484,20220421,20220503,20220428,26242,1,19,SO56560,2.97,7.95
528,20220421,20220503,20220428,15951,1,100,SO56561,1.87,4.99
214,20220421,20220503,20220428,15951,1,100,SO56561,13.09,34.99
528,20220421,20220503,20220428,14908,1,100,SO56562,1.87,4.99
214,20220421,20220503,20220428,14908,1,100,SO56562,13.09,34.99
528,20220421,20220503,20220428,14878,1,100,SO56563,1.87,4.99
485,20220421,20220503,20220428,14878,1,100,SO56563,8.22,21.98
217,20220421,20220503,20220428,14878,1,100,SO56563,13.09,34.99
471,20220421,20220503,20220428,14878,1,100,SO56563,23.75,63.5
528,20220421,20220503,20220428,20380,1,19,SO56564,1.87,4.99
480,20220421,20220503,20220428,20380,2,19,SO56564,0.86,2.29
528,20220421,20220503,20220428,15305,1,100,SO56565,1.87,4.99
480,20220421,20220503,20220428,15305,1,100,SO56565,0.86,2.29
484,20220421,20220503,20220428,15305,1,100,SO56565,2.97,7.95
485,20220421,20220503,20220428,18090,1,19,SO56566,8.22,21.98
528,20220421,20220503,20220428,14608,1,100,SO56567,1.87,4.99
222,20220421,20220503,20220428,14608,1,100,SO56567,13.09,34.99
485,20220421,20220503,20220428,15173,1,100,SO56568,8.22,21.98
478,20220421,20220503,20220428,15173,1,100,SO56568,3.74,9.99
477,20220421,20220503,20220428,15173,1,100,SO56568,1.87,4.99
225,20220421,20220503,20220428,15173,1,100,SO56568,6.92,8.99
477,20220421,20220503,20220428,19352,1,100,SO56569,1.87,4.99
225,20220421,20220503,20220428,19352,1,100,SO56569,6.92,8.99
477,20220421,20220503,20220428,21115,1,100,SO56570,1.87,4.99
538,20220421,20220503,20220428,21063,1,100,SO56571,8.04,21.49
529,20220421,20220503,20220428,21063,1,100,SO56571,1.49,3.99
217,20220421,20220503,20220428,21063,1,100,SO56571,13.09,34.99
529,20220421,20220503,20220428,24539,1,100,SO56572,1.49,3.99
217,20220421,20220503,20220428,24539,1,100,SO56572,13.09,34.99
538,20220421,20220503,20220428,27826,1,100,SO56573,8.04,21.49
480,20220421,20220503,20220428,27826,1,100,SO56573,0.86,2.29
528,20220421,20220503,20220428,11643,1,100,SO56574,1.87,4.99
537,20220421,20220503,20220428,11643,1,100,SO56574,13.09,35
237,20220421,20220503,20220428,11643,1,100,SO56574,38.49,49.99
485,20220421,20220503,20220428,13980,1,100,SO56575,8.22,21.98
222,20220421,20220503,20220428,13980,1,100,SO56575,13.09,34.99
537,20220421,20220503,20220428,13290,1,19,SO56576,13.09,35
528,20220421,20220503,20220428,13290,1,19,SO56576,1.87,4.99
214,20220421,20220503,20220428,13290,1,19,SO56576,13.09,34.99
225,20220421,20220503,20220428,12627,1,98,SO56577,6.92,8.99
228,20220421,20220503,20220428,12467,1,100,SO56578,38.49,49.99
481,20220421,20220503,20220428,12467,1,100,SO56578,3.36,8.99
237,20220421,20220503,20220428,12379,1,100,SO56579,38.49,49.99
222,20220421,20220503,20220428,11424,1,100,SO56580,13.09,34.99
225,20220421,20220503,20220428,11424,1,100,SO56580,6.92,8.99
580,20220421,20220503,20220428,16924,1,100,SO56581,"1,082.51",1700.99
231,20220421,20220503,20220428,16924,1,100,SO56581,38.49,49.99
465,20220421,20220503,20220428,16924,1,100,SO56581,9.16,24.49
361,20220421,20220503,20220428,13176,1,100,SO56582,"1,251.98",2294.99
477,20220421,20220503,20220428,13176,1,100,SO56582,1.87,4.99
478,20220421,20220503,20220428,13176,1,100,SO56582,3.74,9.99
363,20220421,20220503,20220428,13177,2,100,SO56583,"1,251.98",2294.99
485,20220421,20220503,20220428,13177,1,100,SO56583,8.22,21.98
363,20220421,20220503,20220428,13205,2,100,SO56584,"1,251.98",2294.99
478,20220421,20220503,20220428,13205,1,100,SO56584,3.74,9.99
487,20220421,20220503,20220428,13205,1,100,SO56584,20.57,54.99
355,20220421,20220503,20220428,12935,1,100,SO56585,"1,265.62",2319.99
485,20220421,20220503,20220428,12935,1,100,SO56585,8.22,21.98
482,20220421,20220503,20220428,12935,1,100,SO56585,3.36,8.99
357,20220421,20220503,20220428,12209,1,100,SO56586,"1,265.62",2319.99
478,20220421,20220503,20220428,12209,1,100,SO56586,3.74,9.99
361,20220421,20220503,20220428,12362,1,100,SO56587,"1,251.98",2294.99
485,20220421,20220503,20220428,12362,1,100,SO56587,8.22,21.98
482,20220421,20220503,20220428,12362,1,100,SO56587,3.36,8.99
576,20220421,20220503,20220428,28963,1,6,SO56588,"1,481.94",2384.07
477,20220421,20220503,20220428,28963,1,6,SO56588,1.87,4.99
479,20220421,20220503,20220428,28963,1,6,SO56588,3.36,8.99
605,20220421,20220503,20220428,22874,1,100,SO56589,343.65,539.99
225,20220421,20220503,20220428,22874,1,100,SO56589,6.92,8.99
606,20220421,20220503,20220428,16668,2,100,SO56590,343.65,539.99
479,20220421,20220503,20220428,16668,1,100,SO56590,3.36,8.99
477,20220421,20220503,20220428,16668,1,100,SO56590,1.87,4.99
488,20220421,20220503,20220428,16668,1,100,SO56590,41.57,53.99
606,20220421,20220503,20220428,22780,1,100,SO56591,343.65,539.99
538,20220421,20220503,20220428,22780,1,100,SO56591,8.04,21.49
480,20220421,20220503,20220428,22780,1,100,SO56591,0.86,2.29
486,20220421,20220503,20220428,22780,1,100,SO56591,59.47,159
390,20220421,20220503,20220428,19768,1,100,SO56592,713.08,1120.49
477,20220421,20220503,20220428,19768,1,100,SO56592,1.87,4.99
479,20220421,20220503,20220428,19768,1,100,SO56592,3.36,8.99
225,20220421,20220503,20220428,19768,1,100,SO56592,6.92,8.99
384,20220421,20220503,20220428,23762,1,98,SO56593,713.08,1120.49
214,20220421,20220503,20220428,23762,1,98,SO56593,13.09,34.99
225,20220421,20220503,20220428,23762,1,98,SO56593,6.92,8.99
584,20220421,20220503,20220428,11481,1,100,SO56594,343.65,539.99
479,20220421,20220503,20220428,11481,1,100,SO56594,3.36,8.99
477,20220421,20220503,20220428,11481,1,100,SO56594,1.87,4.99
584,20220421,20220503,20220428,25657,1,98,SO56595,343.65,539.99
529,20220421,20220503,20220428,25657,1,98,SO56595,1.49,3.99
538,20220421,20220503,20220428,25657,1,98,SO56595,8.04,21.49
225,20220421,20220503,20220428,25657,1,98,SO56595,6.92,8.99
222,20220421,20220503,20220428,25657,1,98,SO56595,13.09,34.99
584,20220421,20220503,20220428,21665,1,100,SO56596,343.65,539.99
479,20220421,20220503,20220428,21665,1,100,SO56596,3.36,8.99
477,20220421,20220503,20220428,21665,1,100,SO56596,1.87,4.99
573,20220421,20220503,20220428,28731,1,98,SO56597,"1,481.94",2384.07
477,20220421,20220503,20220428,28731,1,98,SO56597,1.87,4.99
479,20220421,20220503,20220428,28731,1,98,SO56597,3.36,8.99
488,20220421,20220503,20220428,28731,1,98,SO56597,41.57,53.99
566,20220421,20220503,20220428,28479,1,6,SO56598,461.44,742.35
217,20220421,20220503,20220428,28479,1,6,SO56598,13.09,34.99
489,20220421,20220503,20220428,28479,1,6,SO56598,41.57,53.99
359,20220422,20220504,20220429,12214,1,98,SO56599,"1,251.98",2294.99
537,20220422,20220504,20220429,12214,1,98,SO56599,13.09,35
480,20220422,20220504,20220429,12214,1,98,SO56599,0.86,2.29
536,20220422,20220504,20220429,15641,1,6,SO56600,11.22,29.99
528,20220422,20220504,20220429,15641,1,6,SO56600,1.87,4.99
222,20220422,20220504,20220429,15641,1,6,SO56600,13.09,34.99
467,20220422,20220504,20220429,15641,2,6,SO56600,9.16,24.49
536,20220422,20220504,20220429,20251,1,6,SO56601,11.22,29.99
477,20220422,20220504,20220429,20251,1,6,SO56601,1.87,4.99
465,20220422,20220504,20220429,20251,1,6,SO56601,9.16,24.49
485,20220422,20220504,20220429,17495,1,6,SO56602,8.22,21.98
214,20220422,20220504,20220429,17495,1,6,SO56602,13.09,34.99
485,20220422,20220504,20220429,18206,1,6,SO56603,8.22,21.98
222,20220422,20220504,20220429,18206,1,6,SO56603,13.09,34.99
537,20220422,20220504,20220429,21978,1,6,SO56604,13.09,35
480,20220422,20220504,20220429,21978,1,6,SO56604,0.86,2.29
538,20220422,20220504,20220429,20603,1,6,SO56605,8.04,21.49
480,20220422,20220504,20220429,20603,1,6,SO56605,0.86,2.29
237,20220422,20220504,20220429,14315,1,6,SO56606,38.49,49.99
463,20220422,20220504,20220429,14315,1,6,SO56606,9.16,24.49
580,20220422,20220504,20220429,17634,1,100,SO56607,"1,082.51",1700.99
222,20220422,20220504,20220429,17634,1,100,SO56607,13.09,34.99
479,20220422,20220504,20220429,19962,1,6,SO56608,3.36,8.99
477,20220422,20220504,20220429,19962,1,6,SO56608,1.87,4.99
480,20220422,20220504,20220429,19962,1,6,SO56608,0.86,2.29
480,20220422,20220504,20220429,11304,1,100,SO56609,0.86,2.29
541,20220422,20220504,20220429,11142,1,19,SO56610,10.84,28.99
538,20220422,20220504,20220429,11276,1,19,SO56611,8.04,21.49
529,20220422,20220504,20220429,11276,1,19,SO56611,1.49,3.99
217,20220422,20220504,20220429,11276,1,19,SO56611,13.09,34.99
530,20220422,20220504,20220429,11223,1,19,SO56612,1.87,4.99
214,20220422,20220504,20220429,11223,1,19,SO56612,13.09,34.99
535,20220422,20220504,20220429,26071,1,100,SO56613,9.35,24.99
528,20220422,20220504,20220429,26071,1,100,SO56613,1.87,4.99
214,20220422,20220504,20220429,26071,1,100,SO56613,13.09,34.99
467,20220422,20220504,20220429,26071,1,100,SO56613,9.16,24.49
535,20220422,20220504,20220429,11820,1,19,SO56614,9.35,24.99
528,20220422,20220504,20220429,11820,1,19,SO56614,1.87,4.99
480,20220422,20220504,20220429,11820,2,19,SO56614,0.86,2.29
528,20220422,20220504,20220429,12159,1,19,SO56615,1.87,4.99
536,20220422,20220504,20220429,12159,1,19,SO56615,11.22,29.99
217,20220422,20220504,20220429,12159,1,19,SO56615,13.09,34.99
536,20220422,20220504,20220429,23003,1,100,SO56616,11.22,29.99
480,20220422,20220504,20220429,23003,2,100,SO56616,0.86,2.29
477,20220422,20220504,20220429,21657,1,100,SO56617,1.87,4.99
478,20220422,20220504,20220429,21657,1,100,SO56617,3.74,9.99
475,20220422,20220504,20220429,19857,1,100,SO56618,26.18,69.99
477,20220422,20220504,20220429,13486,1,19,SO56619,1.87,4.99
217,20220422,20220504,20220429,13486,1,19,SO56619,13.09,34.99
475,20220422,20220504,20220429,19809,1,100,SO56620,26.18,69.99
476,20220422,20220504,20220429,19219,1,100,SO56621,26.18,69.99
481,20220422,20220504,20220429,19219,1,100,SO56621,3.36,8.99
475,20220422,20220504,20220429,18845,1,100,SO56622,26.18,69.99
225,20220422,20220504,20220429,20270,1,100,SO56623,6.92,8.99
474,20220422,20220504,20220429,20270,1,100,SO56623,26.18,69.99
528,20220422,20220504,20220429,15946,1,100,SO56624,1.87,4.99
214,20220422,20220504,20220429,15946,1,100,SO56624,13.09,34.99
472,20220422,20220504,20220429,15946,1,100,SO56624,23.75,63.5
528,20220422,20220504,20220429,15294,1,100,SO56625,1.87,4.99
487,20220422,20220504,20220429,15294,1,100,SO56625,20.57,54.99
481,20220422,20220504,20220429,13985,1,100,SO56626,3.36,8.99
485,20220422,20220504,20220429,13985,1,100,SO56626,8.22,21.98
475,20220422,20220504,20220429,14806,1,98,SO56627,26.18,69.99
488,20220422,20220504,20220429,14806,1,98,SO56627,41.57,53.99
477,20220422,20220504,20220429,19351,1,100,SO56628,1.87,4.99
538,20220422,20220504,20220429,21662,1,100,SO56629,8.04,21.49
538,20220422,20220504,20220429,25629,1,100,SO56630,8.04,21.49
480,20220422,20220504,20220429,25629,1,100,SO56630,0.86,2.29
541,20220422,20220504,20220429,29435,1,100,SO56631,10.84,28.99
530,20220422,20220504,20220429,29435,1,100,SO56631,1.87,4.99
222,20220422,20220504,20220429,29435,1,100,SO56631,13.09,34.99
541,20220422,20220504,20220429,26927,1,100,SO56632,10.84,28.99
530,20220422,20220504,20220429,26927,1,100,SO56632,1.87,4.99
480,20220422,20220504,20220429,26927,2,100,SO56632,0.86,2.29
537,20220422,20220504,20220429,11836,1,100,SO56633,13.09,35
528,20220422,20220504,20220429,12015,1,100,SO56634,1.87,4.99
537,20220422,20220504,20220429,12015,1,100,SO56634,13.09,35
485,20220422,20220504,20220429,12015,1,100,SO56634,8.22,21.98
537,20220422,20220504,20220429,11859,1,100,SO56635,13.09,35
480,20220422,20220504,20220429,11859,1,100,SO56635,0.86,2.29
485,20220422,20220504,20220429,15859,1,19,SO56636,8.22,21.98
480,20220422,20220504,20220429,15859,1,19,SO56636,0.86,2.29
363,20220422,20220504,20220429,12930,1,100,SO56637,"1,251.98",2294.99
537,20220422,20220504,20220429,12930,1,100,SO56637,13.09,35
480,20220422,20220504,20220429,12930,1,100,SO56637,0.86,2.29
567,20220422,20220504,20220429,27883,1,100,SO56638,461.44,742.35
530,20220422,20220504,20220429,27883,1,100,SO56638,1.87,4.99
541,20220422,20220504,20220429,27883,1,100,SO56638,10.84,28.99
480,20220422,20220504,20220429,27883,2,100,SO56638,0.86,2.29
561,20220422,20220504,20220429,29184,1,6,SO56639,"1,481.94",2384.07
530,20220422,20220504,20220429,29184,1,6,SO56639,1.87,4.99
541,20220422,20220504,20220429,29184,1,6,SO56639,10.84,28.99
480,20220422,20220504,20220429,29184,1,6,SO56639,0.86,2.29
372,20220422,20220504,20220429,18930,1,6,SO56640,"1,554.95",2443.35
479,20220422,20220504,20220429,18930,1,6,SO56640,3.36,8.99
477,20220422,20220504,20220429,18930,1,6,SO56640,1.87,4.99
384,20220422,20220504,20220429,19983,1,100,SO56641,713.08,1120.49
606,20220422,20220504,20220429,21126,1,100,SO56642,343.65,539.99
538,20220422,20220504,20220429,21126,1,100,SO56642,8.04,21.49
529,20220422,20220504,20220429,21126,1,100,SO56642,1.49,3.99
563,20220422,20220504,20220429,14791,1,100,SO56643,"1,481.94",2384.07
479,20220422,20220504,20220429,14791,1,100,SO56643,3.36,8.99
477,20220422,20220504,20220429,14791,1,100,SO56643,1.87,4.99
467,20220422,20220504,20220429,14791,1,100,SO56643,9.16,24.49
384,20220423,20220505,20220430,23546,1,6,SO56644,713.08,1120.49
222,20220423,20220505,20220430,23546,1,6,SO56644,13.09,34.99
528,20220423,20220505,20220430,25818,1,6,SO56645,1.87,4.99
225,20220423,20220505,20220430,25818,1,6,SO56645,6.92,8.99
485,20220423,20220505,20220430,25818,1,6,SO56645,8.22,21.98
478,20220423,20220505,20220430,28959,1,6,SO56646,3.74,9.99
477,20220423,20220505,20220430,28959,1,6,SO56646,1.87,4.99
541,20220423,20220505,20220430,16032,1,6,SO56647,10.84,28.99
530,20220423,20220505,20220430,16032,1,6,SO56647,1.87,4.99
214,20220423,20220505,20220430,16032,1,6,SO56647,13.09,34.99
486,20220423,20220505,20220430,12678,1,6,SO56648,59.47,159
582,20220423,20220505,20220430,24723,1,100,SO56649,"1,082.51",1700.99
539,20220423,20220505,20220430,24723,1,100,SO56649,9.35,24.99
473,20220423,20220505,20220430,24723,1,100,SO56649,23.75,63.5
529,20220423,20220505,20220430,24723,1,100,SO56649,1.49,3.99
599,20220423,20220505,20220430,17747,1,98,SO56650,294.58,539.99
485,20220423,20220505,20220430,17747,1,98,SO56650,8.22,21.98
489,20220423,20220505,20220430,11658,1,100,SO56651,41.57,53.99
225,20220423,20220505,20220430,11658,1,100,SO56651,6.92,8.99
530,20220423,20220505,20220430,28287,1,100,SO56652,1.87,4.99
217,20220423,20220505,20220430,28287,1,100,SO56652,13.09,34.99
473,20220423,20220505,20220430,28287,1,100,SO56652,23.75,63.5
530,20220423,20220505,20220430,11530,1,19,SO56653,1.87,4.99
539,20220423,20220505,20220430,11502,1,19,SO56654,9.35,24.99
529,20220423,20220505,20220430,11502,1,19,SO56654,1.49,3.99
217,20220423,20220505,20220430,11502,1,19,SO56654,13.09,34.99
538,20220423,20220505,20220430,11498,1,19,SO56655,8.04,21.49
528,20220423,20220505,20220430,26492,1,100,SO56656,1.87,4.99
535,20220423,20220505,20220430,26492,1,100,SO56656,9.35,24.99
540,20220423,20220505,20220430,24768,1,100,SO56657,12.19,32.6
478,20220423,20220505,20220430,20489,1,100,SO56658,3.74,9.99
477,20220423,20220505,20220430,20489,1,100,SO56658,1.87,4.99
222,20220423,20220505,20220430,20489,1,100,SO56658,13.09,34.99
477,20220423,20220505,20220430,18354,1,100,SO56659,1.87,4.99
484,20220423,20220505,20220430,18354,1,100,SO56659,2.97,7.95
483,20220423,20220505,20220430,18354,1,100,SO56659,44.88,120
528,20220423,20220505,20220430,17335,1,100,SO56660,1.87,4.99
528,20220423,20220505,20220430,15331,1,100,SO56661,1.87,4.99
480,20220423,20220505,20220430,15331,2,100,SO56661,0.86,2.29
528,20220423,20220505,20220430,20500,1,19,SO56662,1.87,4.99
472,20220423,20220505,20220430,20500,1,19,SO56662,23.75,63.5
485,20220423,20220505,20220430,14441,1,100,SO56663,8.22,21.98
483,20220423,20220505,20220430,14441,1,100,SO56663,44.88,120
485,20220423,20220505,20220430,18054,1,19,SO56664,8.22,21.98
478,20220423,20220505,20220430,18054,1,19,SO56664,3.74,9.99
477,20220423,20220505,20220430,18054,1,19,SO56664,1.87,4.99
539,20220423,20220505,20220430,16302,1,100,SO56665,9.35,24.99
529,20220423,20220505,20220430,19259,1,100,SO56666,1.49,3.99
539,20220423,20220505,20220430,19259,1,100,SO56666,9.35,24.99
477,20220423,20220505,20220430,22560,1,98,SO56667,1.87,4.99
217,20220423,20220505,20220430,22560,1,98,SO56667,13.09,34.99
488,20220423,20220505,20220430,22560,1,98,SO56667,41.57,53.99
538,20220423,20220505,20220430,11475,1,98,SO56668,8.04,21.49
529,20220423,20220505,20220430,11475,1,98,SO56668,1.49,3.99
222,20220423,20220505,20220430,11475,1,98,SO56668,13.09,34.99
225,20220423,20220505,20220430,11475,1,98,SO56668,6.92,8.99
529,20220423,20220505,20220430,17652,1,100,SO56669,1.49,3.99
480,20220423,20220505,20220430,17652,2,100,SO56669,0.86,2.29
484,20220423,20220505,20220430,17652,1,100,SO56669,2.97,7.95
477,20220423,20220505,20220430,22457,1,98,SO56670,1.87,4.99
530,20220423,20220505,20220430,23949,1,100,SO56671,1.87,4.99
541,20220423,20220505,20220430,23949,1,100,SO56671,10.84,28.99
237,20220423,20220505,20220430,23949,1,100,SO56671,38.49,49.99
225,20220423,20220505,20220430,23949,1,100,SO56671,6.92,8.99
530,20220423,20220505,20220430,16454,1,98,SO56672,1.87,4.99
480,20220423,20220505,20220430,16454,2,98,SO56672,0.86,2.29
541,20220423,20220505,20220430,13816,1,98,SO56673,10.84,28.99
530,20220423,20220505,20220430,13816,1,98,SO56673,1.87,4.99
480,20220423,20220505,20220430,13816,1,98,SO56673,0.86,2.29
483,20220423,20220505,20220430,13816,1,98,SO56673,44.88,120
234,20220423,20220505,20220430,13816,1,98,SO56673,38.49,49.99
225,20220423,20220505,20220430,13816,1,98,SO56673,6.92,8.99
537,20220423,20220505,20220430,11649,1,100,SO56674,13.09,35
480,20220423,20220505,20220430,11649,1,100,SO56674,0.86,2.29
530,20220423,20220505,20220430,26232,1,98,SO56675,1.87,4.99
485,20220423,20220505,20220430,14075,1,100,SO56676,8.22,21.98
222,20220423,20220505,20220430,14075,1,100,SO56676,13.09,34.99
537,20220423,20220505,20220430,11805,1,100,SO56677,13.09,35
528,20220423,20220505,20220430,11805,1,100,SO56677,1.87,4.99
214,20220423,20220505,20220430,11805,1,100,SO56677,13.09,34.99
374,20220423,20220505,20220430,16364,1,100,SO56678,"1,554.95",2443.35
529,20220423,20220505,20220430,16364,1,100,SO56678,1.49,3.99
540,20220423,20220505,20220430,16364,1,100,SO56678,12.19,32.6
480,20220423,20220505,20220430,16364,1,100,SO56678,0.86,2.29
590,20220423,20220505,20220430,14110,1,19,SO56679,419.78,769.49
478,20220423,20220505,20220430,14110,1,19,SO56679,3.74,9.99
477,20220423,20220505,20220430,14110,1,19,SO56679,1.87,4.99
217,20220423,20220505,20220430,14110,1,19,SO56679,13.09,34.99
589,20220423,20220505,20220430,14037,1,100,SO56680,419.78,769.49
474,20220423,20220505,20220430,14037,1,100,SO56680,26.18,69.99
225,20220423,20220505,20220430,14037,1,100,SO56680,6.92,8.99
228,20220423,20220505,20220430,14037,1,100,SO56680,38.49,49.99
359,20220423,20220505,20220430,11625,1,100,SO56681,"1,251.98",2294.99
537,20220423,20220505,20220430,11625,1,100,SO56681,13.09,35
528,20220423,20220505,20220430,11625,1,100,SO56681,1.87,4.99
363,20220423,20220505,20220430,13093,2,100,SO56682,"1,251.98",2294.99
537,20220423,20220505,20220430,13093,1,100,SO56682,13.09,35
528,20220423,20220505,20220430,13093,1,100,SO56682,1.87,4.99
590,20220423,20220505,20220430,11126,1,6,SO56683,419.78,769.49
485,20220423,20220505,20220430,11126,1,6,SO56683,8.22,21.98
480,20220423,20220505,20220430,11126,1,6,SO56683,0.86,2.29
584,20220423,20220505,20220430,20995,1,6,SO56684,343.65,539.99
481,20220423,20220505,20220430,20995,1,6,SO56684,3.36,8.99
606,20220423,20220505,20220430,28116,1,6,SO56685,343.65,539.99
477,20220423,20220505,20220430,28116,1,6,SO56685,1.87,4.99
479,20220423,20220505,20220430,28116,1,6,SO56685,3.36,8.99
473,20220423,20220505,20220430,28116,1,6,SO56685,23.75,63.5
575,20220423,20220505,20220430,29192,1,6,SO56686,"1,481.94",2384.07
214,20220423,20220505,20220430,29192,1,6,SO56686,13.09,34.99
374,20220423,20220505,20220430,19089,1,6,SO56687,"1,554.95",2443.35
540,20220423,20220505,20220430,19089,1,6,SO56687,12.19,32.6
529,20220423,20220505,20220430,19089,1,6,SO56687,1.49,3.99
222,20220423,20220505,20220430,19089,1,6,SO56687,13.09,34.99
355,20220423,20220505,20220430,12674,1,6,SO56688,"1,265.62",2319.99
563,20220423,20220505,20220430,24346,1,100,SO56689,"1,481.94",2384.07
541,20220423,20220505,20220430,24346,1,100,SO56689,10.84,28.99
530,20220423,20220505,20220430,24346,1,100,SO56689,1.87,4.99
487,20220423,20220505,20220430,24346,1,100,SO56689,20.57,54.99
606,20220423,20220505,20220430,22791,2,100,SO56690,343.65,539.99
529,20220423,20220505,20220430,22791,1,100,SO56690,1.49,3.99
538,20220423,20220505,20220430,22791,1,100,SO56690,8.04,21.49
214,20220423,20220505,20220430,22791,1,100,SO56690,13.09,34.99
388,20220423,20220505,20220430,19849,1,100,SO56691,713.08,1120.49
539,20220423,20220505,20220430,19849,1,100,SO56691,9.35,24.99
480,20220423,20220505,20220430,19849,2,100,SO56691,0.86,2.29
363,20220424,20220506,20220501,12634,1,98,SO56692,"1,251.98",2294.99
480,20220424,20220506,20220501,12634,1,98,SO56692,0.86,2.29
363,20220424,20220506,20220501,11613,1,100,SO56693,"1,251.98",2294.99
478,20220424,20220506,20220501,11613,1,100,SO56693,3.74,9.99
477,20220424,20220506,20220501,11613,1,100,SO56693,1.87,4.99
353,20220424,20220506,20220501,12297,1,100,SO56694,"1,265.62",2319.99
478,20220424,20220506,20220501,12297,1,100,SO56694,3.74,9.99
477,20220424,20220506,20220501,12297,1,100,SO56694,1.87,4.99
217,20220424,20220506,20220501,12297,1,100,SO56694,13.09,34.99
231,20220424,20220506,20220501,12297,1,100,SO56694,38.49,49.99
535,20220424,20220506,20220501,13522,1,6,SO56695,9.35,24.99
535,20220424,20220506,20220501,12691,1,6,SO56696,9.35,24.99
463,20220424,20220506,20220501,12691,1,6,SO56696,9.16,24.49
539,20220424,20220506,20220501,15139,1,6,SO56697,9.35,24.99
529,20220424,20220506,20220501,18319,1,6,SO56698,1.49,3.99
538,20220424,20220506,20220501,18319,1,6,SO56698,8.04,21.49
214,20220424,20220506,20220501,18319,1,6,SO56698,13.09,34.99
537,20220424,20220506,20220501,21409,1,6,SO56699,13.09,35
538,20220424,20220506,20220501,20218,1,6,SO56700,8.04,21.49
529,20220424,20220506,20220501,20218,1,6,SO56700,1.49,3.99
480,20220424,20220506,20220501,20218,1,6,SO56700,0.86,2.29
528,20220424,20220506,20220501,24898,1,6,SO56701,1.87,4.99
480,20220424,20220506,20220501,24898,2,6,SO56701,0.86,2.29
482,20220424,20220506,20220501,24379,1,6,SO56702,3.36,8.99
477,20220424,20220506,20220501,24379,1,6,SO56702,1.87,4.99
541,20220424,20220506,20220501,19591,1,6,SO56703,10.84,28.99
530,20220424,20220506,20220501,19591,1,6,SO56703,1.87,4.99
484,20220424,20220506,20220501,19591,1,6,SO56703,2.97,7.95
480,20220424,20220506,20220501,15641,1,6,SO56704,0.86,2.29
380,20220424,20220506,20220501,16415,1,100,SO56705,"1,554.95",2443.35
225,20220424,20220506,20220501,16415,1,100,SO56705,6.92,8.99
214,20220424,20220506,20220501,16415,1,100,SO56705,13.09,34.99
491,20220424,20220506,20220501,11701,1,100,SO56706,41.57,53.99
237,20220424,20220506,20220501,12067,1,100,SO56707,38.49,49.99
225,20220424,20220506,20220501,12067,1,100,SO56707,6.92,8.99
529,20220424,20220506,20220501,11500,1,19,SO56708,1.49,3.99
539,20220424,20220506,20220501,11500,1,19,SO56708,9.35,24.99
480,20220424,20220506,20220501,11500,1,19,SO56708,0.86,2.29
530,20220424,20220506,20220501,28043,1,100,SO56709,1.87,4.99
222,20220424,20220506,20220501,28043,1,100,SO56709,13.09,34.99
530,20220424,20220506,20220501,28011,1,100,SO56710,1.87,4.99
480,20220424,20220506,20220501,28011,2,100,SO56710,0.86,2.29
